"Module","Category","LOC","Size","Path"
"monitoring/metrics_collector","monitoring","325","14591","T:\Project-AI-main\src\app\monitoring\metrics_collector.py"
"monitoring/metrics_server","monitoring","187","7688","T:\Project-AI-main\src\app\monitoring\metrics_server.py"
"monitoring/prometheus_exporter","monitoring","336","13658","T:\Project-AI-main\src\app\monitoring\prometheus_exporter.py"
"monitoring/security_metrics","monitoring","392","16614","T:\Project-AI-main\src\app\monitoring\security_metrics.py"
"plugins/cerberus_adapter","plugins","59","2487","T:\Project-AI-main\src\app\plugins\cerberus_adapter.py"
"plugins/codex_adapter","plugins","54","2890","T:\Project-AI-main\src\app\plugins\codex_adapter.py"
"plugins/excalidraw_plugin","plugins","353","12555","T:\Project-AI-main\src\app\plugins\excalidraw_plugin.py"
"plugins/graph_analysis_plugin","plugins","639","25913","T:\Project-AI-main\src\app\plugins\graph_analysis_plugin.py"
"plugins/plugin_runner","plugins","89","3511","T:\Project-AI-main\src\app\plugins\plugin_runner.py"
"plugins/sample_plugin","plugins","44","2125","T:\Project-AI-main\src\app\plugins\sample_plugin.py"
"privacy/anti_fingerprint","privacy","83","3639","T:\Project-AI-main\src\app\privacy\anti_fingerprint.py"
"privacy/anti_malware","privacy","117","4342","T:\Project-AI-main\src\app\privacy\anti_malware.py"
"privacy/anti_phishing","privacy","104","4281","T:\Project-AI-main\src\app\privacy\anti_phishing.py"
"privacy/anti_tracker","privacy","99","3809","T:\Project-AI-main\src\app\privacy\anti_tracker.py"
"privacy/onion_router","privacy","97","4211","T:\Project-AI-main\src\app\privacy\onion_router.py"
"privacy/privacy_auditor","privacy","112","4210","T:\Project-AI-main\src\app\privacy\privacy_auditor.py"
"remote/remote_browser","remote","117","4648","T:\Project-AI-main\src\app\remote\remote_browser.py"
"remote/remote_desktop","remote","81","3378","T:\Project-AI-main\src\app\remote\remote_desktop.py"
"remote/secure_tunnel","remote","31","1173","T:\Project-AI-main\src\app\remote\secure_tunnel.py"
"reporting/sarif_generator","reporting","397","17548","T:\Project-AI-main\src\app\reporting\sarif_generator.py"
"resilience/deadman_switch","resilience","181","7444","T:\Project-AI-main\src\app\resilience\deadman_switch.py"
"resilience/self_repair_agent","resilience","157","6179","T:\Project-AI-main\src\app\resilience\self_repair_agent.py"
"security/advanced/dos_trap","security","1228","55605","T:\Project-AI-main\src\app\security\advanced\dos_trap.py"
"security/advanced/hardware_root_of_trust","security","560","24829","T:\Project-AI-main\src\app\security\advanced\hardware_root_of_trust.py"
"security/advanced/mfa_auth","security","1134","48894","T:\Project-AI-main\src\app\security\advanced\mfa_auth.py"
"security/advanced/microvm_isolation","security","832","35190","T:\Project-AI-main\src\app\security\advanced\microvm_isolation.py"
"security/advanced/privacy_ledger","security","793","32691","T:\Project-AI-main\src\app\security\advanced\privacy_ledger.py"
"security/advanced/privacy_risk_engine","security","421","19022","T:\Project-AI-main\src\app\security\advanced\privacy_risk_engine.py"
"security/agent_security","security","367","13648","T:\Project-AI-main\src\app\security\agent_security.py"
"security/ai_security_framework","security","1155","46324","T:\Project-AI-main\src\app\security\ai_security_framework.py"
"security/asymmetric_enforcement_gateway","security","314","13162","T:\Project-AI-main\src\app\security\asymmetric_enforcement_gateway.py"
"security/aws_integration","security","271","11315","T:\Project-AI-main\src\app\security\aws_integration.py"
"security/contrarian_firewall_orchestrator","security","565","25246","T:\Project-AI-main\src\app\security\contrarian_firewall_orchestrator.py"
"security/data_validation","security","437","18006","T:\Project-AI-main\src\app\security\data_validation.py"
"security/database_security","security","338","13368","T:\Project-AI-main\src\app\security\database_security.py"
"security/environment_hardening","security","251","10851","T:\Project-AI-main\src\app\security\environment_hardening.py"
"security/monitoring","security","349","13383","T:\Project-AI-main\src\app\security\monitoring.py"
"security/path_security","security","254","8333","T:\Project-AI-main\src\app\security\path_security.py"
"security/web_service","security","345","13721","T:\Project-AI-main\src\app\security\web_service.py"
"service/ai_controller","service","205","7932","T:\Project-AI-main\src\app\service\ai_controller.py"
"setup/captcha_system","setup","12","402","T:\Project-AI-main\src\app\setup\captcha_system.py"
"setup/notice_letter","setup","14","558","T:\Project-AI-main\src\app\setup\notice_letter.py"
"setup/setup_wizard","setup","28","1236","T:\Project-AI-main\src\app\setup\setup_wizard.py"
"setup/usage_tutorial","setup","18","715","T:\Project-AI-main\src\app\setup\usage_tutorial.py"
"temporal/activities","temporal","579","20688","T:\Project-AI-main\src\app\temporal\activities.py"
"temporal/client","temporal","185","7078","T:\Project-AI-main\src\app\temporal\client.py"
"temporal/config","temporal","111","3710","T:\Project-AI-main\src\app\temporal\config.py"
"temporal/governance_integration","temporal","277","10426","T:\Project-AI-main\src\app\temporal\governance_integration.py"
"temporal/worker","temporal","101","3296","T:\Project-AI-main\src\app\temporal\worker.py"
"temporal/workflows","temporal","711","27937","T:\Project-AI-main\src\app\temporal\workflows.py"
"ui/themes/theme_detector","ui","41","1425","T:\Project-AI-main\src\app\ui\themes\theme_detector.py"
"ui/themes/theme_manager","ui","24","1006","T:\Project-AI-main\src\app\ui\themes\theme_manager.py"
